low,high,dur_label,vol_at_bucket,filter,train_n,train_wr,train_roi,hold_n,hold_wr,hold_roi,entry_price,robust,fade_robust
0.05,0.1,≤6h,$100K-1M,baseline,791,0.07458912768647281,-0.2541087231352719,465,0.08602150537634409,-0.13978494623655913,0.1,false,true
0.05,0.1,≤6h,$100K-1M,EXP_HIGH+MID ≥50%,128,0.0859375,-0.140625,165,0.11515151515151516,0.1515151515151516,0.1,false,false
0.05,0.1,≤6h,$100K-1M,EXP_HIGH+MID ≥80%,78,0.10256410256410256,0.02564102564102555,124,0.08064516129032258,-0.19354838709677424,0.1,false,false
0.05,0.1,≤6h,$100K-1M,nw≥4 + EXP_HIGH+MID ≥50%,71,0.09859154929577464,-0.014084507042253613,84,0.16666666666666666,0.6666666666666665,0.1,false,false
0.05,0.1,≤6h,$100K-1M,FRESH+NEW+SEMI ≥50% (fade),394,0.07360406091370558,-0.2639593908629442,137,0.0364963503649635,-0.635036496350365,0.1,false,true
0.05,0.1,≤6h,>$1M,baseline,118,0.03389830508474576,-0.6610169491525424,128,0.1875,0.875,0.1,false,false
0.05,0.1,≤6h,>$1M,EXP_HIGH+MID ≥50%,15,0.13333333333333333,0.33333333333333326,40,0.25,1.5,0.1,true,false
0.05,0.1,≤6h,>$1M,EXP_HIGH+MID ≥80%,9,0.1111111111111111,0.11111111111111094,30,0.26666666666666666,1.6666666666666665,0.1,true,false
0.05,0.1,≤6h,>$1M,nw≥4 + EXP_HIGH+MID ≥50%,10,0.1,0.0,23,0.34782608695652173,2.4782608695652173,0.1,false,false
0.05,0.1,≤6h,>$1M,FRESH+NEW+SEMI ≥50% (fade),67,0.029850746268656716,-0.7014925373134329,45,0.08888888888888889,-0.11111111111111116,0.1,false,true
0.05,0.1,≤24h,all,baseline,3378,0.10213143872113677,0.02131438721136769,1684,0.10688836104513064,0.0688836104513062,0.1,true,false
0.05,0.1,≤24h,all,EXP_HIGH+MID ≥50%,626,0.14376996805111822,0.43769968051118213,513,0.15009746588693956,0.5009746588693955,0.1,true,false
0.05,0.1,≤24h,all,EXP_HIGH+MID ≥80%,442,0.16968325791855204,0.6968325791855203,392,0.14030612244897958,0.40306122448979576,0.1,true,false
0.05,0.1,≤24h,all,nw≥4 + EXP_HIGH+MID ≥50%,232,0.08620689655172414,-0.13793103448275856,206,0.17475728155339806,0.7475728155339805,0.1,false,false
0.05,0.1,≤24h,all,FRESH+NEW+SEMI ≥50% (fade),1611,0.08690254500310367,-0.1309745499689634,575,0.06782608695652174,-0.32173913043478264,0.1,false,true
0.05,0.1,≤24h,<$1K,baseline,340,0.17941176470588235,0.7941176470588234,125,0.2,1.0,0.1,true,false
0.05,0.1,≤24h,<$1K,EXP_HIGH+MID ≥50%,56,0.26785714285714285,1.6785714285714284,30,0.2,1.0,0.1,true,false
