low,high,dur_label,filter,train_n,train_wr,train_roi,hold_n,hold_wr,hold_roi,entry_price,robust,fade_robust
0.05,0.35,all,EXP_HIGH+MID ≥50%,193,0.37823834196891193,0.08068097705403421,159,0.3333333333333333,-0.04761904761904756,0.35,false,false
0.05,0.35,all,EXP_HIGH+MID ≥80%,93,0.4731182795698925,0.3517665130568357,74,0.3918918918918919,0.11969111969111967,0.35,true,false
0.05,0.35,all,nw≥4 + EXP_HIGH+MID ≥50%,120,0.325,-0.07142857142857129,120,0.325,-0.07142857142857129,0.35,false,true
0.05,0.35,all,FRESH+NEW+SEMI ≥50% (fade),355,0.24788732394366197,-0.29175050301810856,138,0.21739130434782608,-0.3788819875776397,0.35,false,true
0.05,0.4,≤1h,baseline,385,0.34545454545454546,-0.13636363636363635,194,0.29896907216494845,-0.25257731958762897,0.4,false,true
0.05,0.4,≤1h,EXP_HIGH+MID ≥50%,77,0.5194805194805194,0.29870129870129847,65,0.4,0.0,0.4,false,false
0.05,0.4,≤1h,EXP_HIGH+MID ≥80%,46,0.5652173913043478,0.4130434782608694,41,0.4146341463414634,0.03658536585365835,0.4,true,false
0.05,0.4,≤1h,nw≥4 + EXP_HIGH+MID ≥50%,40,0.475,0.18749999999999978,39,0.4358974358974359,0.08974358974358965,0.4,true,false
0.05,0.4,≤1h,FRESH+NEW+SEMI ≥50% (fade),179,0.2905027932960894,-0.2737430167597765,68,0.22058823529411764,-0.44852941176470595,0.4,false,true
0.05,0.4,≤6h,baseline,520,0.3423076923076923,-0.14423076923076927,281,0.28825622775800713,-0.27935943060498225,0.4,false,true
0.05,0.4,≤6h,EXP_HIGH+MID ≥50%,106,0.5,0.25,98,0.3877551020408163,-0.030612244897959218,0.4,false,false
0.05,0.4,≤6h,EXP_HIGH+MID ≥80%,62,0.5161290322580645,0.29032258064516125,52,0.4423076923076923,0.10576923076923062,0.4,true,false
0.05,0.4,≤6h,nw≥4 + EXP_HIGH+MID ≥50%,56,0.48214285714285715,0.2053571428571428,65,0.36923076923076925,-0.07692307692307687,0.4,false,false
0.05,0.4,≤6h,FRESH+NEW+SEMI ≥50% (fade),228,0.2894736842105263,-0.2763157894736842,94,0.22340425531914893,-0.4414893617021277,0.4,false,true
0.05,0.4,≤24h,baseline,610,0.3262295081967213,-0.18442622950819676,339,0.29793510324483774,-0.2551622418879057,0.4,false,true
0.05,0.4,≤24h,EXP_HIGH+MID ≥50%,135,0.45925925925925926,0.14814814814814814,123,0.37398373983739835,-0.0650406504065042,0.4,false,false
0.05,0.4,≤24h,EXP_HIGH+MID ≥80%,70,0.5285714285714286,0.3214285714285714,59,0.4067796610169492,0.016949152542372836,0.4,true,false
0.05,0.4,≤24h,nw≥4 + EXP_HIGH+MID ≥50%,83,0.40963855421686746,0.02409638554216853,89,0.3595505617977528,-0.101123595505618,0.4,false,false
0.05,0.4,≤24h,FRESH+NEW+SEMI ≥50% (fade),260,0.28846153846153844,-0.27884615384615397,103,0.24271844660194175,-0.3932038834951457,0.4,false,true
0.05,0.4,all,baseline,776,0.31443298969072164,-0.2139175257731959,398,0.30402010050251255,-0.23994974874371866,0.4,false,true
0.05,0.4,all,EXP_HIGH+MID ≥50%,163,0.4294478527607362,0.07361963190184051,139,0.381294964028777,-0.046762589928057596,0.4,false,false
0.05,0.4,all,EXP_HIGH+MID ≥80%,74,0.5,0.25,62,0.41935483870967744,0.048387096774193505,0.4,true,false
0.05,0.4,all,nw≥4 + EXP_HIGH+MID ≥50%,108,0.3888888888888889,-0.02777777777777779,104,0.36538461538461536,-0.08653846153846168,0.4,false,true
0.05,0.4,all,FRESH+NEW+SEMI ≥50% (fade),312,0.28525641025641024,-0.28685897435897445,110,0.2545454545454545,-0.36363636363636376,0.4,false,true
0.05,0.45,≤1h,baseline,340,0.3735294117647059,-0.16993464052287588,165,0.3151515151515151,-0.29966329966329974,0.45,false,true
0.05,0.45,≤1h,EXP_HIGH+MID ≥50%,67,0.5074626865671642,0.1276948590381426,58,0.41379310344827586,-0.08045977011494254,0.45,false,false
0.05,0.45,≤1h,EXP_HIGH+MID ≥80%,40,0.55,0.22222222222222232,34,0.5,0.11111111111111116,0.45,true,false
0.05,0.45,≤1h,nw≥4 + EXP_HIGH+MID ≥50%,34,0.47058823529411764,0.045751633986928164,35,0.4,-0.11111111111111105,0.45,false,false
0.05,0.45,≤1h,FRESH+NEW+SEMI ≥50% (fade),160,0.325,-0.2777777777777778,55,0.23636363636363636,-0.4747474747474748,0.45,false,true
0.05,0.45,≤6h,baseline,467,0.3683083511777302,-0.1815369973828218,245,0.3183673469387755,-0.2925170068027211,0.45,false,true
0.05,0.45,≤6h,EXP_HIGH+MID ≥50%,94,0.48936170212765956,0.08747044917257685,88,0.42045454545454547,-0.06565656565656564,0.45,false,false
0.05,0.45,≤6h,EXP_HIGH+MID ≥80%,53,0.49056603773584906,0.09014675052410892,45,0.5111111111111111,0.1358024691358024,0.45,true,false
0.05,0.45,≤6h,nw≥4 + EXP_HIGH+MID ≥50%,48,0.4791666666666667,0.06481481481481488,59,0.3898305084745763,-0.13370998116760824,0.45,false,false
0.05,0.45,≤6h,FRESH+NEW+SEMI ≥50% (fade),206,0.32524271844660196,-0.2772384034519957,76,0.2631578947368421,-0.41520467836257313,0.45,false,true
0.05,0.45,≤24h,baseline,542,0.35424354243542433,-0.21279212792127933,299,0.3177257525083612,-0.29394277220364173,0.45,false,true
0.05,0.45,≤24h,EXP_HIGH+MID ≥50%,117,0.46153846153846156,0.025641025641025772,113,0.3805309734513274,-0.15437561455260573,0.45,false,false
0.05,0.45,≤24h,EXP_HIGH+MID ≥80%,60,0.5,0.11111111111111116,50,0.46,0.022222222222222143,0.45,true,false
0.05,0.45,≤24h,nw≥4 + EXP_HIGH+MID ≥50%,70,0.42857142857142855,-0.04761904761904767,83,0.3493975903614458,-0.22356091030789826,0.45,false,true
0.05,0.45,≤24h,FRESH+NEW+SEMI ≥50% (fade),231,0.3246753246753247,-0.27849927849927847,83,0.2891566265060241,-0.357429718875502,0.45,false,true
0.05,0.45,all,baseline,701,0.3437945791726106,-0.23601204628308758,359,0.3286908077994429,-0.2695759826679047,0.45,false,true
0.05,0.45,all,EXP_HIGH+MID ≥50%,144,0.4444444444444444,-0.012345679012345734,131,0.40458015267175573,-0.10093299406276501,0.45,false,true
0.05,0.45,all,EXP_HIGH+MID ≥80%,65,0.46153846153846156,0.025641025641025772,52,0.4807692307692308,0.06837606837606836,0.45,true,false
0.05,0.45,all,nw≥4 + EXP_HIGH+MID ≥50%,94,0.425531914893617,-0.05437352245862881,100,0.38,-0.15555555555555556,0.45,false,true
0.05,0.45,all,FRESH+NEW+SEMI ≥50% (fade),281,0.3202846975088968,-0.2882562277580071,89,0.3146067415730337,-0.3008739076154807,0.45,false,true
